code=32, textureId=0, prespace=0, width=8, advance=8, top=(1, 1), bottom=(9, 17)
code=97, textureId=0, prespace=0, width=8, advance=8, top=(17, 17), bottom=(25, 33)
code=98, textureId=0, prespace=0, width=8, advance=8, top=(25, 17), bottom=(33, 33)
code=99, textureId=0, prespace=0, width=8, advance=8, top=(33, 17), bottom=(41, 33)
code=100, textureId=0, prespace=0, width=8, advance=8, top=(41, 17), bottom=(49, 33)
code=101, textureId=0, prespace=0, width=8, advance=8, top=(49, 17), bottom=(57, 33)
code=102, textureId=0, prespace=0, width=8, advance=8, top=(57, 17), bottom=(65, 33)
code=103, textureId=0, prespace=0, width=8, advance=8, top=(65, 17), bottom=(73, 33)
code=104, textureId=0, prespace=0, width=8, advance=8, top=(73, 17), bottom=(81, 33)
code=105, textureId=0, prespace=0, width=8, advance=8, top=(81, 17), bottom=(89, 33)
code=106, textureId=0, prespace=0, width=8, advance=8, top=(89, 17), bottom=(97, 33)
code=107, textureId=0, prespace=0, width=8, advance=8, top=(97, 17), bottom=(105, 33)
code=108, textureId=0, prespace=0, width=8, advance=8, top=(105, 17), bottom=(113, 33)
code=109, textureId=0, prespace=0, width=8, advance=8, top=(113, 17), bottom=(121, 33)
code=110, textureId=0, prespace=0, width=8, advance=8, top=(121, 17), bottom=(129, 33)
code=111, textureId=0, prespace=0, width=8, advance=8, top=(129, 17), bottom=(137, 33)
code=112, textureId=0, prespace=0, width=8, advance=8, top=(137, 17), bottom=(145, 33)
code=113, textureId=0, prespace=0, width=8, advance=8, top=(145, 17), bottom=(153, 33)
code=114, textureId=0, prespace=0, width=8, advance=8, top=(153, 17), bottom=(161, 33)
code=115, textureId=0, prespace=0, width=8, advance=8, top=(161, 17), bottom=(169, 33)
code=116, textureId=0, prespace=0, width=8, advance=8, top=(169, 17), bottom=(177, 33)
code=117, textureId=0, prespace=0, width=8, advance=8, top=(177, 17), bottom=(185, 33)
code=118, textureId=0, prespace=0, width=8, advance=8, top=(185, 17), bottom=(193, 33)
code=119, textureId=0, prespace=0, width=8, advance=8, top=(193, 17), bottom=(201, 33)
code=120, textureId=0, prespace=0, width=8, advance=8, top=(201, 17), bottom=(209, 33)
code=121, textureId=0, prespace=0, width=8, advance=8, top=(209, 17), bottom=(217, 33)
code=122, textureId=0, prespace=0, width=8, advance=8, top=(217, 17), bottom=(225, 33)
code=123, textureId=0, prespace=0, width=8, advance=8, top=(225, 17), bottom=(233, 33)
code=124, textureId=0, prespace=0, width=8, advance=8, top=(233, 17), bottom=(241, 33)
code=125, textureId=0, prespace=0, width=8, advance=8, top=(241, 17), bottom=(249, 33)
code=126, textureId=0, prespace=0, width=8, advance=8, top=(249, 17), bottom=(257, 33)
code=127, textureId=0, prespace=0, width=8, advance=8, top=(257, 17), bottom=(265, 33)
code=160, textureId=0, prespace=0, width=8, advance=8, top=(265, 17), bottom=(273, 33)
code=161, textureId=0, prespace=0, width=8, advance=8, top=(273, 17), bottom=(281, 33)
code=162, textureId=0, prespace=0, width=8, advance=8, top=(281, 17), bottom=(289, 33)
code=163, textureId=0, prespace=0, width=8, advance=8, top=(289, 17), bottom=(297, 33)
code=164, textureId=0, prespace=0, width=8, advance=8, top=(297, 17), bottom=(305, 33)
code=165, textureId=0, prespace=0, width=8, advance=8, top=(305, 17), bottom=(313, 33)
code=166, textureId=0, prespace=0, width=8, advance=8, top=(313, 17), bottom=(321, 33)
code=167, textureId=0, prespace=0, width=16, advance=16, top=(321, 17), bottom=(337, 33)
code=168, textureId=0, prespace=0, width=16, advance=16, top=(337, 17), bottom=(353, 33)
code=169, textureId=0, prespace=0, width=8, advance=8, top=(353, 17), bottom=(361, 33)
code=170, textureId=0, prespace=0, width=8, advance=8, top=(361, 17), bottom=(369, 33)
code=171, textureId=0, prespace=0, width=8, advance=8, top=(369, 17), bottom=(377, 33)
code=172, textureId=0, prespace=0, width=8, advance=8, top=(377, 17), bottom=(385, 33)
code=173, textureId=0, prespace=0, width=8, advance=8, top=(385, 17), bottom=(393, 33)
code=174, textureId=0, prespace=0, width=8, advance=8, top=(393, 17), bottom=(401, 33)
code=175, textureId=0, prespace=0, width=8, advance=8, top=(401, 17), bottom=(409, 33)
code=176, textureId=0, prespace=0, width=16, advance=16, top=(409, 17), bottom=(425, 33)
code=177, textureId=0, prespace=0, width=16, advance=16, top=(425, 17), bottom=(441, 33)
code=178, textureId=0, prespace=0, width=8, advance=8, top=(441, 17), bottom=(449, 33)
code=179, textureId=0, prespace=0, width=8, advance=8, top=(449, 17), bottom=(457, 33)
code=180, textureId=0, prespace=0, width=16, advance=16, top=(457, 17), bottom=(473, 33)
code=181, textureId=0, prespace=0, width=8, advance=8, top=(473, 17), bottom=(481, 33)
code=182, textureId=0, prespace=0, width=16, advance=16, top=(481, 17), bottom=(497, 33)
code=183, textureId=0, prespace=0, width=8, advance=8, top=(497, 17), bottom=(505, 33)
code=184, textureId=0, prespace=0, width=8, advance=8, top=(1, 33), bottom=(9, 49)
code=185, textureId=0, prespace=0, width=8, advance=8, top=(9, 33), bottom=(17, 49)
code=186, textureId=0, prespace=0, width=8, advance=8, top=(17, 33), bottom=(25, 49)
code=187, textureId=0, prespace=0, width=8, advance=8, top=(25, 33), bottom=(33, 49)
code=188, textureId=0, prespace=0, width=8, advance=8, top=(33, 33), bottom=(41, 49)
code=189, textureId=0, prespace=0, width=8, advance=8, top=(41, 33), bottom=(49, 49)
code=190, textureId=0, prespace=0, width=8, advance=8, top=(49, 33), bottom=(57, 49)
code=191, textureId=0, prespace=0, width=8, advance=8, top=(57, 33), bottom=(65, 49)
code=192, textureId=0, prespace=0, width=8, advance=8, top=(65, 33), bottom=(73, 49)
code=193, textureId=0, prespace=0, width=8, advance=8, top=(73, 33), bottom=(81, 49)
code=194, textureId=0, prespace=0, width=8, advance=8, top=(81, 33), bottom=(89, 49)
code=195, textureId=0, prespace=0, width=8, advance=8, top=(89, 33), bottom=(97, 49)
code=196, textureId=0, prespace=0, width=8, advance=8, top=(97, 33), bottom=(105, 49)
code=197, textureId=0, prespace=0, width=8, advance=8, top=(105, 33), bottom=(113, 49)
code=198, textureId=0, prespace=0, width=8, advance=8, top=(113, 33), bottom=(121, 49)
code=199, textureId=0, prespace=0, width=8, advance=8, top=(121, 33), bottom=(129, 49)
code=200, textureId=0, prespace=0, width=8, advance=8, top=(129, 33), bottom=(137, 49)
code=201, textureId=0, prespace=0, width=8, advance=8, top=(137, 33), bottom=(145, 49)
code=202, textureId=0, prespace=0, width=8, advance=8, top=(145, 33), bottom=(153, 49)
code=203, textureId=0, prespace=0, width=8, advance=8, top=(153, 33), bottom=(161, 49)
code=204, textureId=0, prespace=0, width=8, advance=8, top=(161, 33), bottom=(169, 49)
code=205, textureId=0, prespace=0, width=8, advance=8, top=(169, 33), bottom=(177, 49)
code=206, textureId=0, prespace=0, width=8, advance=8, top=(177, 33), bottom=(185, 49)
code=207, textureId=0, prespace=0, width=8, advance=8, top=(185, 33), bottom=(193, 49)
code=208, textureId=0, prespace=0, width=8, advance=8, top=(193, 33), bottom=(201, 49)
code=209, textureId=0, prespace=0, width=8, advance=8, top=(201, 33), bottom=(209, 49)
code=210, textureId=0, prespace=0, width=8, advance=8, top=(209, 33), bottom=(217, 49)
code=211, textureId=0, prespace=0, width=8, advance=8, top=(217, 33), bottom=(225, 49)
code=212, textureId=0, prespace=0, width=8, advance=8, top=(225, 33), bottom=(233, 49)
code=213, textureId=0, prespace=0, width=8, advance=8, top=(233, 33), bottom=(241, 49)
code=214, textureId=0, prespace=0, width=8, advance=8, top=(241, 33), bottom=(249, 49)
code=215, textureId=0, prespace=0, width=16, advance=16, top=(249, 33), bottom=(265, 49)
code=216, textureId=0, prespace=0, width=8, advance=8, top=(265, 33), bottom=(273, 49)
code=217, textureId=0, prespace=0, width=8, advance=8, top=(273, 33), bottom=(281, 49)
code=218, textureId=0, prespace=0, width=8, advance=8, top=(281, 33), bottom=(289, 49)
code=219, textureId=0, prespace=0, width=8, advance=8, top=(289, 33), bottom=(297, 49)
code=220, textureId=0, prespace=0, width=8, advance=8, top=(297, 33), bottom=(305, 49)
code=221, textureId=0, prespace=0, width=8, advance=8, top=(305, 33), bottom=(313, 49)
code=222, textureId=0, prespace=0, width=8, advance=8, top=(313, 33), bottom=(321, 49)
code=223, textureId=0, prespace=0, width=8, advance=8, top=(321, 33), bottom=(329, 49)
code=224, textureId=0, prespace=0, width=8, advance=8, top=(329, 33), bottom=(337, 49)
code=225, textureId=0, prespace=0, width=8, advance=8, top=(337, 33), bottom=(345, 49)
code=226, textureId=0, prespace=0, width=8, advance=8, top=(345, 33), bottom=(353, 49)
code=227, textureId=0, prespace=0, width=8, advance=8, top=(353, 33), bottom=(361, 49)
code=228, textureId=0, prespace=0, width=8, advance=8, top=(361, 33), bottom=(369, 49)
code=229, textureId=0, prespace=0, width=8, advance=8, top=(369, 33), bottom=(377, 49)
code=230, textureId=0, prespace=0, width=8, advance=8, top=(377, 33), bottom=(385, 49)
code=231, textureId=0, prespace=0, width=8, advance=8, top=(385, 33), bottom=(393, 49)
code=232, textureId=0, prespace=0, width=8, advance=8, top=(393, 33), bottom=(401, 49)
code=233, textureId=0, prespace=0, width=8, advance=8, top=(401, 33), bottom=(409, 49)
code=234, textureId=0, prespace=0, width=8, advance=8, top=(409, 33), bottom=(417, 49)
code=235, textureId=0, prespace=0, width=8, advance=8, top=(417, 33), bottom=(425, 49)
code=236, textureId=0, prespace=0, width=8, advance=8, top=(425, 33), bottom=(433, 49)
code=237, textureId=0, prespace=0, width=8, advance=8, top=(433, 33), bottom=(441, 49)
code=238, textureId=0, prespace=0, width=8, advance=8, top=(441, 33), bottom=(449, 49)
code=239, textureId=0, prespace=0, width=8, advance=8, top=(449, 33), bottom=(457, 49)
code=240, textureId=0, prespace=0, width=8, advance=8, top=(457, 33), bottom=(465, 49)
code=241, textureId=0, prespace=0, width=8, advance=8, top=(465, 33), bottom=(473, 49)
code=242, textureId=0, prespace=0, width=8, advance=8, top=(473, 33), bottom=(481, 49)
code=243, textureId=0, prespace=0, width=8, advance=8, top=(481, 33), bottom=(489, 49)
code=244, textureId=0, prespace=0, width=8, advance=8, top=(489, 33), bottom=(497, 49)
code=245, textureId=0, prespace=0, width=8, advance=8, top=(497, 33), bottom=(505, 49)
code=246, textureId=0, prespace=0, width=8, advance=8, top=(1, 49), bottom=(9, 65)
code=247, textureId=0, prespace=0, width=16, advance=16, top=(9, 49), bottom=(25, 65)
code=248, textureId=0, prespace=0, width=8, advance=8, top=(25, 49), bottom=(33, 65)
code=249, textureId=0, prespace=0, width=8, advance=8, top=(33, 49), bottom=(41, 65)
code=250, textureId=0, prespace=0, width=8, advance=8, top=(41, 49), bottom=(49, 65)
code=251, textureId=0, prespace=0, width=8, advance=8, top=(49, 49), bottom=(57, 65)
code=252, textureId=0, prespace=0, width=8, advance=8, top=(57, 49), bottom=(65, 65)
code=253, textureId=0, prespace=0, width=8, advance=8, top=(65, 49), bottom=(73, 65)
code=254, textureId=0, prespace=0, width=8, advance=8, top=(73, 49), bottom=(81, 65)
code=255, textureId=0, prespace=0, width=8, advance=8, top=(81, 49), bottom=(89, 65)
code=257, textureId=0, prespace=0, width=8, advance=8, top=(89, 49), bottom=(97, 65)
code=260, textureId=0, prespace=0, width=8, advance=8, top=(97, 49), bottom=(105, 65)
code=261, textureId=0, prespace=0, width=8, advance=8, top=(105, 49), bottom=(113, 65)
code=262, textureId=0, prespace=0, width=8, advance=8, top=(113, 49), bottom=(121, 65)
code=263, textureId=0, prespace=0, width=8, advance=8, top=(121, 49), bottom=(129, 65)
code=275, textureId=0, prespace=0, width=8, advance=8, top=(129, 49), bottom=(137, 65)
code=280, textureId=0, prespace=0, width=8, advance=8, top=(137, 49), bottom=(145, 65)
code=281, textureId=0, prespace=0, width=8, advance=8, top=(145, 49), bottom=(153, 65)
code=283, textureId=0, prespace=0, width=8, advance=8, top=(153, 49), bottom=(161, 65)
code=299, textureId=0, prespace=0, width=8, advance=8, top=(161, 49), bottom=(169, 65)
code=321, textureId=0, prespace=0, width=8, advance=8, top=(169, 49), bottom=(177, 65)
code=322, textureId=0, prespace=0, width=8, advance=8, top=(177, 49), bottom=(185, 65)
code=323, textureId=0, prespace=0, width=8, advance=8, top=(185, 49), bottom=(193, 65)
code=324, textureId=0, prespace=0, width=8, advance=8, top=(193, 49), bottom=(201, 65)
code=328, textureId=0, prespace=0, width=8, advance=8, top=(201, 49), bottom=(209, 65)
code=333, textureId=0, prespace=0, width=8, advance=8, top=(209, 49), bottom=(217, 65)
code=338, textureId=0, prespace=0, width=8, advance=8, top=(217, 49), bottom=(225, 65)
code=339, textureId=0, prespace=0, width=8, advance=8, top=(225, 49), bottom=(233, 65)
code=346, textureId=0, prespace=0, width=8, advance=8, top=(233, 49), bottom=(241, 65)
code=347, textureId=0, prespace=0, width=8, advance=8, top=(241, 49), bottom=(249, 65)
code=352, textureId=0, prespace=0, width=8, advance=8, top=(249, 49), bottom=(257, 65)
code=353, textureId=0, prespace=0, width=8, advance=8, top=(257, 49), bottom=(265, 65)
code=363, textureId=0, prespace=0, width=8, advance=8, top=(265, 49), bottom=(273, 65)
code=376, textureId=0, prespace=0, width=8, advance=8, top=(273, 49), bottom=(281, 65)
code=377, textureId=0, prespace=0, width=8, advance=8, top=(281, 49), bottom=(289, 65)
code=378, textureId=0, prespace=0, width=8, advance=8, top=(289, 49), bottom=(297, 65)
code=379, textureId=0, prespace=0, width=8, advance=8, top=(297, 49), bottom=(305, 65)
code=380, textureId=0, prespace=0, width=8, advance=8, top=(305, 49), bottom=(313, 65)
code=381, textureId=0, prespace=0, width=8, advance=8, top=(313, 49), bottom=(321, 65)
code=382, textureId=0, prespace=0, width=8, advance=8, top=(321, 49), bottom=(329, 65)
code=402, textureId=0, prespace=0, width=8, advance=8, top=(329, 49), bottom=(337, 65)
code=462, textureId=0, prespace=0, width=16, advance=16, top=(337, 49), bottom=(353, 65)
code=464, textureId=0, prespace=0, width=16, advance=16, top=(353, 49), bottom=(369, 65)
code=466, textureId=0, prespace=0, width=16, advance=16, top=(369, 49), bottom=(385, 65)
code=468, textureId=0, prespace=0, width=16, advance=16, top=(385, 49), bottom=(401, 65)
code=470, textureId=0, prespace=0, width=16, advance=16, top=(401, 49), bottom=(417, 65)
code=472, textureId=0, prespace=0, width=16, advance=16, top=(417, 49), bottom=(433, 65)
code=474, textureId=0, prespace=0, width=16, advance=16, top=(433, 49), bottom=(449, 65)
code=476, textureId=0, prespace=0, width=16, advance=16, top=(449, 49), bottom=(465, 65)
code=593, textureId=0, prespace=0, width=8, advance=8, top=(465, 49), bottom=(473, 65)
code=609, textureId=0, prespace=0, width=8, advance=8, top=(473, 49), bottom=(481, 65)
code=710, textureId=0, prespace=0, width=8, advance=8, top=(481, 49), bottom=(489, 65)
code=711, textureId=0, prespace=0, width=8, advance=8, top=(489, 49), bottom=(497, 65)
code=713, textureId=0, prespace=0, width=8, advance=8, top=(497, 49), bottom=(505, 65)
code=714, textureId=0, prespace=0, width=16, advance=16, top=(1, 65), bottom=(17, 81)
code=715, textureId=0, prespace=0, width=16, advance=16, top=(17, 65), bottom=(33, 81)
code=717, textureId=0, prespace=0, width=8, advance=8, top=(33, 65), bottom=(41, 81)
code=729, textureId=0, prespace=0, width=8, advance=8, top=(41, 65), bottom=(49, 81)
code=732, textureId=0, prespace=0, width=8, advance=8, top=(49, 65), bottom=(57, 81)
code=913, textureId=0, prespace=0, width=16, advance=16, top=(57, 65), bottom=(73, 81)
code=914, textureId=0, prespace=0, width=16, advance=16, top=(73, 65), bottom=(89, 81)
code=915, textureId=0, prespace=0, width=16, advance=16, top=(89, 65), bottom=(105, 81)
code=916, textureId=0, prespace=0, width=16, advance=16, top=(105, 65), bottom=(121, 81)
code=917, textureId=0, prespace=0, width=16, advance=16, top=(121, 65), bottom=(137, 81)
code=918, textureId=0, prespace=0, width=16, advance=16, top=(137, 65), bottom=(153, 81)
code=919, textureId=0, prespace=0, width=16, advance=16, top=(153, 65), bottom=(169, 81)
code=920, textureId=0, prespace=0, width=16, advance=16, top=(169, 65), bottom=(185, 81)
code=921, textureId=0, prespace=0, width=16, advance=16, top=(185, 65), bottom=(201, 81)
code=922, textureId=0, prespace=0, width=16, advance=16, top=(201, 65), bottom=(217, 81)
code=923, textureId=0, prespace=0, width=16, advance=16, top=(217, 65), bottom=(233, 81)
code=924, textureId=0, prespace=0, width=16, advance=16, top=(233, 65), bottom=(249, 81)
code=925, textureId=0, prespace=0, width=16, advance=16, top=(249, 65), bottom=(265, 81)
code=926, textureId=0, prespace=0, width=16, advance=16, top=(265, 65), bottom=(281, 81)
code=927, textureId=0, prespace=0, width=16, advance=16, top=(281, 65), bottom=(297, 81)
code=928, textureId=0, prespace=0, width=16, advance=16, top=(297, 65), bottom=(313, 81)
code=929, textureId=0, prespace=0, width=16, advance=16, top=(313, 65), bottom=(329, 81)
code=931, textureId=0, prespace=0, width=16, advance=16, top=(329, 65), bottom=(345, 81)
code=932, textureId=0, prespace=0, width=16, advance=16, top=(345, 65), bottom=(361, 81)
code=933, textureId=0, prespace=0, width=16, advance=16, top=(361, 65), bottom=(377, 81)
code=934, textureId=0, prespace=0, width=16, advance=16, top=(377, 65), bottom=(393, 81)
code=935, textureId=0, prespace=0, width=16, advance=16, top=(393, 65), bottom=(409, 81)
code=936, textureId=0, prespace=0, width=16, advance=16, top=(409, 65), bottom=(425, 81)
code=937, textureId=0, prespace=0, width=16, advance=16, top=(425, 65), bottom=(441, 81)
code=945, textureId=0, prespace=0, width=16, advance=16, top=(441, 65), bottom=(457, 81)
code=946, textureId=0, prespace=0, width=16, advance=16, top=(457, 65), bottom=(473, 81)
code=947, textureId=0, prespace=0, width=16, advance=16, top=(473, 65), bottom=(489, 81)
code=948, textureId=0, prespace=0, width=16, advance=16, top=(489, 65), bottom=(505, 81)
code=949, textureId=0, prespace=0, width=16, advance=16, top=(1, 81), bottom=(17, 97)
code=950, textureId=0, prespace=0, width=16, advance=16, top=(17, 81), bottom=(33, 97)
code=951, textureId=0, prespace=0, width=16, advance=16, top=(33, 81), bottom=(49, 97)
code=952, textureId=0, prespace=0, width=16, advance=16, top=(49, 81), bottom=(65, 97)
code=953, textureId=0, prespace=0, width=16, advance=16, top=(65, 81), bottom=(81, 97)
code=954, textureId=0, prespace=0, width=16, advance=16, top=(81, 81), bottom=(97, 97)
code=955, textureId=0, prespace=0, width=16, advance=16, top=(97, 81), bottom=(113, 97)
code=956, textureId=0, prespace=0, width=16, advance=16, top=(113, 81), bottom=(129, 97)
code=957, textureId=0, prespace=0, width=16, advance=16, top=(129, 81), bottom=(145, 97)
code=958, textureId=0, prespace=0, width=16, advance=16, top=(145, 81), bottom=(161, 97)
code=959, textureId=0, prespace=0, width=16, advance=16, top=(161, 81), bottom=(177, 97)
code=960, textureId=0, prespace=0, width=16, advance=16, top=(177, 81), bottom=(193, 97)
code=961, textureId=0, prespace=0, width=16, advance=16, top=(193, 81), bottom=(209, 97)
code=963, textureId=0, prespace=0, width=16, advance=16, top=(209, 81), bottom=(225, 97)
code=964, textureId=0, prespace=0, width=16, advance=16, top=(225, 81), bottom=(241, 97)
code=965, textureId=0, prespace=0, width=16, advance=16, top=(241, 81), bottom=(257, 97)
code=966, textureId=0, prespace=0, width=16, advance=16, top=(257, 81), bottom=(273, 97)
code=967, textureId=0, prespace=0, width=16, advance=16, top=(273, 81), bottom=(289, 97)
code=968, textureId=0, prespace=0, width=16, advance=16, top=(289, 81), bottom=(305, 97)
code=969, textureId=0, prespace=0, width=16, advance=16, top=(305, 81), bottom=(321, 97)
code=1025, textureId=0, prespace=0, width=16, advance=16, top=(321, 81), bottom=(337, 97)
code=1040, textureId=0, prespace=0, width=16, advance=16, top=(337, 81), bottom=(353, 97)
code=1041, textureId=0, prespace=0, width=16, advance=16, top=(353, 81), bottom=(369, 97)
code=1042, textureId=0, prespace=0, width=16, advance=16, top=(369, 81), bottom=(385, 97)
code=1043, textureId=0, prespace=0, width=16, advance=16, top=(385, 81), bottom=(401, 97)
code=1044, textureId=0, prespace=0, width=16, advance=16, top=(401, 81), bottom=(417, 97)
code=1045, textureId=0, prespace=0, width=16, advance=16, top=(417, 81), bottom=(433, 97)
code=1046, textureId=0, prespace=0, width=16, advance=16, top=(433, 81), bottom=(449, 97)
code=1047, textureId=0, prespace=0, width=16, advance=16, top=(449, 81), bottom=(465, 97)
code=1048, textureId=0, prespace=0, width=16, advance=16, top=(465, 81), bottom=(481, 97)
code=1049, textureId=0, prespace=0, width=16, advance=16, top=(481, 81), bottom=(497, 97)
code=1050, textureId=0, prespace=0, width=16, advance=16, top=(1, 97), bottom=(17, 113)
code=1051, textureId=0, prespace=0, width=16, advance=16, top=(17, 97), bottom=(33, 113)
code=1052, textureId=0, prespace=0, width=16, advance=16, top=(33, 97), bottom=(49, 113)
code=1053, textureId=0, prespace=0, width=16, advance=16, top=(49, 97), bottom=(65, 113)
code=1054, textureId=0, prespace=0, width=16, advance=16, top=(65, 97), bottom=(81, 113)
code=1055, textureId=0, prespace=0, width=16, advance=16, top=(81, 97), bottom=(97, 113)
code=1056, textureId=0, prespace=0, width=16, advance=16, top=(97, 97), bottom=(113, 113)
code=1057, textureId=0, prespace=0, width=16, advance=16, top=(113, 97), bottom=(129, 113)
code=1058, textureId=0, prespace=0, width=16, advance=16, top=(129, 97), bottom=(145, 113)
code=1059, textureId=0, prespace=0, width=16, advance=16, top=(145, 97), bottom=(161, 113)
code=1060, textureId=0, prespace=0, width=16, advance=16, top=(161, 97), bottom=(177, 113)
code=1061, textureId=0, prespace=0, width=16, advance=16, top=(177, 97), bottom=(193, 113)
code=1062, textureId=0, prespace=0, width=16, advance=16, top=(193, 97), bottom=(209, 113)
code=1063, textureId=0, prespace=0, width=16, advance=16, top=(209, 97), bottom=(225, 113)
code=1064, textureId=0, prespace=0, width=16, advance=16, top=(225, 97), bottom=(241, 113)
code=1065, textureId=0, prespace=0, width=16, advance=16, top=(241, 97), bottom=(257, 113)
